,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,games_draw_home_team,games_draw_away_team,League_1.0,League_1729.0,League_4769.0,League_7809.0,League_10257.0,League_13274.0,League_15722.0,League_17642.0,League_19694.0,League_21518.0,League_24558.0,B365_Win,B365_Draw,B365_Defeat,BW_Win,BW_Draw,BW_Defeat,label
3976,8.0,7.0,8.0,8.0,1.0,2.0,5.0,9.0,0,1,0,0,0,0,0,0,0,0,0,0.5650328476033415,0.2572386385141528,0.1777285138825056,0.5448318804483189,0.26774595267745954,0.1874221668742217,2.0
3977,-2.0,8.0,9.0,6.0,3.0,2.0,4.0,9.0,0,1,0,0,0,0,0,0,0,0,0,0.3625285605483625,0.2878903274942879,0.3495811119573496,0.3658536585365854,0.2882483370288249,0.34589800443458985,0.0
3978,-12.0,-7.0,4.0,6.0,1.0,0.0,6.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.43349753694581283,0.29556650246305427,0.27093596059113306,0.41558441558441556,0.2922077922077922,0.2922077922077922,1.0
3979,26.0,3.0,12.0,9.0,1.0,0.0,6.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0.6519243436529595,0.22583984191211068,0.12223581443492991,0.6227544910179641,0.23353293413173654,0.14371257485029942,2.0
3980,15.0,16.0,11.0,12.0,2.0,0.0,5.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0.5594405594405595,0.24475524475524477,0.19580419580419584,0.5429892624813857,0.23755780233560622,0.21945293518300807,2.0
3981,-18.0,-1.0,2.0,7.0,1.0,4.0,6.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0.20462401106075737,0.26999001459405486,0.5253859743451877,0.2119476268412439,0.27250409165302786,0.5155482815057284,0.0
3982,-9.0,-3.0,6.0,9.0,0.0,1.0,6.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.4755244755244755,0.2867132867132867,0.23776223776223776,0.4564841498559078,0.28357348703170027,0.25994236311239194,0.0
3983,3.0,-13.0,6.0,6.0,2.0,3.0,8.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.674237047551455,0.20440028388928316,0.1213626685592619,0.6538661131292164,0.21069019200830302,0.13544369486248053,2.0
3984,-6.0,1.0,6.0,8.0,1.0,0.0,5.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0.43349753694581283,0.29556650246305427,0.27093596059113306,0.41558441558441556,0.2922077922077922,0.2922077922077922,0.0
3985,9.0,-6.0,6.0,6.0,3.0,0.0,9.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0.6376389141920205,0.23228274731280743,0.13007833849517217,0.6108333646581212,0.2396346276735707,0.1495320076683081,0.0
3986,10.0,26.0,9.0,12.0,4.0,2.0,5.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0.4665629860031104,0.26127527216174184,0.2721617418351478,0.45801526717557256,0.2748091603053435,0.267175572519084,0.0
3987,-14.0,7.0,5.0,8.0,1.0,4.0,3.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0.1851851851851852,0.2592592592592593,0.5555555555555556,0.20015885623510724,0.27164416203335984,0.5281969817315331,2.0
3988,-11.0,9.0,4.0,9.0,0.0,4.0,7.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.30631479736098016,0.3016022620169651,0.3920829406220546,0.3210702341137124,0.2909698996655518,0.38795986622073575,0.0
3989,15.0,-19.0,12.0,4.0,1.0,0.0,5.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.6264014466546112,0.21699819168173598,0.1566003616636528,0.6222222222222222,0.2222222222222222,0.15555555555555556,2.0
